Glyph A,Glyph B,Name A,Name B,Group A,Group B,Marks A,Marks B,Magnitude Delta,Magnitude Result,Interaction Type,Signal A,Signal B
F,EA,fearn,ea,right,backslash,3,4,1,Modulation,Distort,Median Assertion,Strong Warp
F,IO,fearn,io,right,backslash,3,5,2,Dominance,Distort,Median Assertion,Maximal Chaos
S,B,sail,beith,right,right,4,1,3,Dominance,Reinforce,Strong Enforcement,Atomic Initiation
S,L,sail,luis,right,right,4,2,2,Dominance,Reinforce,Strong Enforcement,Weak Coupling
S,F,sail,fearn,right,right,4,3,1,Modulation,Reinforce,Strong Enforcement,Median Assertion
S,S,sail,sail,right,right,4,4,0,Resonance,Reinforce,Strong Enforcement,Strong Enforcement
S,P,sail,peith,right,right,4,5,1,Modulation,Reinforce,Strong Enforcement,Maximal Drive
S,H,sail,huath,right,left,4,1,3,Dominance,Opposition,Strong Enforcement,Atomic Reaction
S,D,sail,duir,right,left,4,2,2,Dominance,Opposition,Strong Enforcement,Weak Resistance
S,T,sail,tinne,right,left,4,3,1,Modulation,Opposition,Strong Enforcement,Median Balance
S,C,sail,coll,right,left,4,4,0,Resonance,Opposition,Strong Enforcement,Strong Barrier
S,W,sail,ceirt,right,left,4,5,1,Modulation,Opposition,Strong Enforcement,Maximal Opposition
S,M,sail,muin,right,cross,4,1,3,Dominance,Anchor,Strong Enforcement,Atomic Bind
S,G,sail,gort,right,cross,4,2,2,Dominance,Anchor,Strong Enforcement,Loose Knot
S,N,sail,ngeadal,right,cross,4,3,1,Modulation,Anchor,Strong Enforcement,Median Lock
S,Z,sail,straif,right,cross,4,4,0,Resonance,Anchor,Strong Enforcement,Strong Anchor
S,R,sail,ruis,right,cross,4,5,1,Modulation,Anchor,Strong Enforcement,Maximal Fusion
S,A,sail,ailm,right,diagonal,4,1,3,Dominance,Propel,Strong Enforcement,Atomic Flow
S,O,sail,onn,right,diagonal,4,2,2,Dominance,Propel,Strong Enforcement,Weak Current
S,U,sail,ur,right,diagonal,4,3,1,Modulation,Propel,Strong Enforcement,Median Stream
S,E,sail,eadhadh,right,diagonal,4,4,0,Resonance,Propel,Strong Enforcement,Strong Torrent
S,I,sail,idad,right,diagonal,4,5,1,Modulation,Propel,Strong Enforcement,Maximal Jet
S,AE,sail,ae,right,backslash,4,1,3,Dominance,Distort,Strong Enforcement,Atomic Twist
S,OI,sail,oi,right,backslash,4,2,2,Dominance,Distort,Strong Enforcement,Weak Vortex
S,UI,sail,ui,right,backslash,4,3,1,Modulation,Distort,Strong Enforcement,Median Shift
S,EA,sail,ea,right,backslash,4,4,0,Resonance,Distort,Strong Enforcement,Strong Warp
S,IO,sail,io,right,backslash,4,5,1,Modulation,Distort,Strong Enforcement,Maximal Chaos
P,B,peith,beith,right,right,5,1,4,Dominance,Reinforce,Maximal Drive,Atomic Initiation
P,L,peith,luis,right,right,5,2,3,Dominance,Reinforce,Maximal Drive,Weak Coupling
P,F,peith,fearn,right,right,5,3,2,Dominance,Reinforce,Maximal Drive,Median Assertion
P,S,peith,sail,right,right,5,4,1,Modulation,Reinforce,Maximal Drive,Strong Enforcement
P,P,peith,peith,right,right,5,5,0,Resonance,Reinforce,Maximal Drive,Maximal Drive
P,H,peith,huath,right,left,5,1,4,Dominance,Opposition,Maximal Drive,Atomic Reaction
P,D,peith,duir,right,left,5,2,3,Dominance,Opposition,Maximal Drive,Weak Resistance
P,T,peith,tinne,right,left,5,3,2,Dominance,Opposition,Maximal Drive,Median Balance
P,C,peith,coll,right,left,5,4,1,Modulation,Opposition,Maximal Drive,Strong Barrier
P,W,peith,ceirt,right,left,5,5,0,Resonance,Opposition,Maximal Drive,Maximal Opposition
P,M,peith,muin,right,cross,5,1,4,Dominance,Anchor,Maximal Drive,Atomic Bind
P,G,peith,gort,right,cross,5,2,3,Dominance,Anchor,Maximal Drive,Loose Knot
P,N,peith,ngeadal,right,cross,5,3,2,Dominance,Anchor,Maximal Drive,Median Lock
P,Z,peith,straif,right,cross,5,4,1,Modulation,Anchor,Maximal Drive,Strong Anchor
P,R,peith,ruis,right,cross,5,5,0,Resonance,Anchor,Maximal Drive,Maximal Fusion
P,A,peith,ailm,right,diagonal,5,1,4,Dominance,Propel,Maximal Drive,Atomic Flow
P,O,peith,onn,right,diagonal,5,2,3,Dominance,Propel,Maximal Drive,Weak Current
P,U,peith,ur,right,diagonal,5,3,2,Dominance,Propel,Maximal Drive,Median Stream
P,E,peith,eadhadh,right,diagonal,5,4,1,Modulation,Propel,Maximal Drive,Strong Torrent
P,I,peith,idad,right,diagonal,5,5,0,Resonance,Propel,Maximal Drive,Maximal Jet
P,AE,peith,ae,right,backslash,5,1,4,Dominance,Distort,Maximal Drive,Atomic Twist
P,OI,peith,oi,right,backslash,5,2,3,Dominance,Distort,Maximal Drive,Weak Vortex
P,UI,peith,ui,right,backslash,5,3,2,Dominance,Distort,Maximal Drive,Median Shift
P,EA,peith,ea,right,backslash,5,4,1,Modulation,Distort,Maximal Drive,Strong Warp
P,IO,peith,io,right,backslash,5,5,0,Resonance,Distort,Maximal Drive,Maximal Chaos
H,B,huath,beith,left,right,1,1,0,Resonance,Opposition,Atomic Reaction,Atomic Initiation
H,L,huath,luis,left,right,1,2,1,Modulation,Opposition,Atomic Reaction,Weak Coupling
H,F,huath,fearn,left,right,1,3,2,Dominance,Opposition,Atomic Reaction,Median Assertion
H,S,huath,sail,left,right,1,4,3,Dominance,Opposition,Atomic Reaction,Strong Enforcement
H,P,huath,peith,left,right,1,5,4,Dominance,Opposition,Atomic Reaction,Maximal Drive
H,H,huath,huath,left,left,1,1,0,Resonance,Reinforce,Atomic Reaction,Atomic Reaction
H,D,huath,duir,left,left,1,2,1,Modulation,Reinforce,Atomic Reaction,Weak Resistance
H,T,huath,tinne,left,left,1,3,2,Dominance,Reinforce,Atomic Reaction,Median Balance
H,C,huath,coll,left,left,1,4,3,Dominance,Reinforce,Atomic Reaction,Strong Barrier
H,W,huath,ceirt,left,left,1,5,4,Dominance,Reinforce,Atomic Reaction,Maximal Opposition
H,M,huath,muin,left,cross,1,1,0,Resonance,Anchor,Atomic Reaction,Atomic Bind
H,G,huath,gort,left,cross,1,2,1,Modulation,Anchor,Atomic Reaction,Loose Knot
H,N,huath,ngeadal,left,cross,1,3,2,Dominance,Anchor,Atomic Reaction,Median Lock
H,Z,huath,straif,left,cross,1,4,3,Dominance,Anchor,Atomic Reaction,Strong Anchor
H,R,huath,ruis,left,cross,1,5,4,Dominance,Anchor,Atomic Reaction,Maximal Fusion
H,A,huath,ailm,left,diagonal,1,1,0,Resonance,Dampen,Atomic Reaction,Atomic Flow
H,O,huath,onn,left,diagonal,1,2,1,Modulation,Dampen,Atomic Reaction,Weak Current
H,U,huath,ur,left,diagonal,1,3,2,Dominance,Dampen,Atomic Reaction,Median Stream
H,E,huath,eadhadh,left,diagonal,1,4,3,Dominance,Dampen,Atomic Reaction,Strong Torrent
H,I,huath,idad,left,diagonal,1,5,4,Dominance,Dampen,Atomic Reaction,Maximal Jet
H,AE,huath,ae,left,backslash,1,1,0,Resonance,Invert,Atomic Reaction,Atomic Twist
H,OI,huath,oi,left,backslash,1,2,1,Modulation,Invert,Atomic Reaction,Weak Vortex
H,UI,huath,ui,left,backslash,1,3,2,Dominance,Invert,Atomic Reaction,Median Shift
H,EA,huath,ea,left,backslash,1,4,3,Dominance,Invert,Atomic Reaction,Strong Warp
H,IO,huath,io,left,backslash,1,5,4,Dominance,Invert,Atomic Reaction,Maximal Chaos
D,B,duir,beith,left,right,2,1,1,Modulation,Opposition,Weak Resistance,Atomic Initiation
D,L,duir,luis,left,right,2,2,0,Resonance,Opposition,Weak Resistance,Weak Coupling
D,F,duir,fearn,left,right,2,3,1,Modulation,Opposition,Weak Resistance,Median Assertion
D,S,duir,sail,left,right,2,4,2,Dominance,Opposition,Weak Resistance,Strong Enforcement
D,P,duir,peith,left,right,2,5,3,Dominance,Opposition,Weak Resistance,Maximal Drive
D,H,duir,huath,left,left,2,1,1,Modulation,Reinforce,Weak Resistance,Atomic Reaction
D,D,duir,duir,left,left,2,2,0,Resonance,Reinforce,Weak Resistance,Weak Resistance
D,T,duir,tinne,left,left,2,3,1,Modulation,Reinforce,Weak Resistance,Median Balance
D,C,duir,coll,left,left,2,4,2,Dominance,Reinforce,Weak Resistance,Strong Barrier
D,W,duir,ceirt,left,left,2,5,3,Dominance,Reinforce,Weak Resistance,Maximal Opposition
D,M,duir,muin,left,cross,2,1,1,Modulation,Anchor,Weak Resistance,Atomic Bind
D,G,duir,gort,left,cross,2,2,0,Resonance,Anchor,Weak Resistance,Loose Knot
D,N,duir,ngeadal,left,cross,2,3,1,Modulation,Anchor,Weak Resistance,Median Lock
D,Z,duir,straif,left,cross,2,4,2,Dominance,Anchor,Weak Resistance,Strong Anchor
D,R,duir,ruis,left,cross,2,5,3,Dominance,Anchor,Weak Resistance,Maximal Fusion
D,A,duir,ailm,left,diagonal,2,1,1,Modulation,Dampen,Weak Resistance,Atomic Flow
D,O,duir,onn,left,diagonal,2,2,0,Resonance,Dampen,Weak Resistance,Weak Current
D,U,duir,ur,left,diagonal,2,3,1,Modulation,Dampen,Weak Resistance,Median Stream
D,E,duir,eadhadh,left,diagonal,2,4,2,Dominance,Dampen,Weak Resistance,Strong Torrent
D,I,duir,idad,left,diagonal,2,5,3,Dominance,Dampen,Weak Resistance,Maximal Jet
D,AE,duir,ae,left,backslash,2,1,1,Modulation,Invert,Weak Resistance,Atomic Twist
D,OI,duir,oi,left,backslash,2,2,0,Resonance,Invert,Weak Resistance,Weak Vortex
D,UI,duir,ui,left,backslash,2,3,1,Modulation,Invert,Weak Resistance,Median Shift
D,EA,duir,ea,left,backslash,2,4,2,Dominance,Invert,Weak Resistance,Strong Warp
D,IO,duir,io,left,backslash,2,5,3,Dominance,Invert,Weak Resistance,Maximal Chaos
T,B,tinne,beith,left,right,3,1,2,Dominance,Opposition,Median Balance,Atomic Initiation
T,L,tinne,luis,left,right,3,2,1,Modulation,Opposition,Median Balance,Weak Coupling
T,F,tinne,fearn,left,right,3,3,0,Resonance,Opposition,Median Balance,Median Assertion
T,S,tinne,sail,left,right,3,4,1,Modulation,Opposition,Median Balance,Strong Enforcement
T,P,tinne,peith,left,right,3,5,2,Dominance,Opposition,Median Balance,Maximal Drive
T,H,tinne,huath,left,left,3,1,2,Dominance,Reinforce,Median Balance,Atomic Reaction
T,D,tinne,duir,left,left,3,2,1,Modulation,Reinforce,Median Balance,Weak Resistance
T,T,tinne,tinne,left,left,3,3,0,Resonance,Reinforce,Median Balance,Median Balance
T,C,tinne,coll,left,left,3,4,1,Modulation,Reinforce,Median Balance,Strong Barrier
T,W,tinne,ceirt,left,left,3,5,2,Dominance,Reinforce,Median Balance,Maximal Opposition
T,M,tinne,muin,left,cross,3,1,2,Dominance,Anchor,Median Balance,Atomic Bind
T,G,tinne,gort,left,cross,3,2,1,Modulation,Anchor,Median Balance,Loose Knot
T,N,tinne,ngeadal,left,cross,3,3,0,Resonance,Anchor,Median Balance,Median Lock
T,Z,tinne,straif,left,cross,3,4,1,Modulation,Anchor,Median Balance,Strong Anchor
T,R,tinne,ruis,left,cross,3,5,2,Dominance,Anchor,Median Balance,Maximal Fusion
T,A,tinne,ailm,left,diagonal,3,1,2,Dominance,Dampen,Median Balance,Atomic Flow
T,O,tinne,onn,left,diagonal,3,2,1,Modulation,Dampen,Median Balance,Weak Current
T,U,tinne,ur,left,diagonal,3,3,0,Resonance,Dampen,Median Balance,Median Stream
T,E,tinne,eadhadh,left,diagonal,3,4,1,Modulation,Dampen,Median Balance,Strong Torrent
T,I,tinne,idad,left,diagonal,3,5,2,Dominance,Dampen,Median Balance,Maximal Jet
T,AE,tinne,ae,left,backslash,3,1,2,Dominance,Invert,Median Balance,Atomic Twist
T,OI,tinne,oi,left,backslash,3,2,1,Modulation,Invert,Median Balance,Weak Vortex
T,UI,tinne,ui,left,backslash,3,3,0,Resonance,Invert,Median Balance,Median Shift
T,EA,tinne,ea,left,backslash,3,4,1,Modulation,Invert,Median Balance,Strong Warp
T,IO,tinne,io,left,backslash,3,5,2,Dominance,Invert,Median Balance,Maximal Chaos
C,B,coll,beith,left,right,4,1,3,Dominance,Opposition,Strong Barrier,Atomic Initiation
C,L,coll,luis,left,right,4,2,2,Dominance,Opposition,Strong Barrier,Weak Coupling
C,F,coll,fearn,left,right,4,3,1,Modulation,Opposition,Strong Barrier,Median Assertion
C,S,coll,sail,left,right,4,4,0,Resonance,Opposition,Strong Barrier,Strong Enforcement
C,P,coll,peith,left,right,4,5,1,Modulation,Opposition,Strong Barrier,Maximal Drive
C,H,coll,huath,left,left,4,1,3,Dominance,Reinforce,Strong Barrier,Atomic Reaction
C,D,coll,duir,left,left,4,2,2,Dominance,Reinforce,Strong Barrier,Weak Resistance
C,T,coll,tinne,left,left,4,3,1,Modulation,Reinforce,Strong Barrier,Median Balance
C,C,coll,coll,left,left,4,4,0,Resonance,Reinforce,Strong Barrier,Strong Barrier
C,W,coll,ceirt,left,left,4,5,1,Modulation,Reinforce,Strong Barrier,Maximal Opposition
C,M,coll,muin,left,cross,4,1,3,Dominance,Anchor,Strong Barrier,Atomic Bind
C,G,coll,gort,left,cross,4,2,2,Dominance,Anchor,Strong Barrier,Loose Knot
C,N,coll,ngeadal,left,cross,4,3,1,Modulation,Anchor,Strong Barrier,Median Lock
C,Z,coll,straif,left,cross,4,4,0,Resonance,Anchor,Strong Barrier,Strong Anchor
C,R,coll,ruis,left,cross,4,5,1,Modulation,Anchor,Strong Barrier,Maximal Fusion
C,A,coll,ailm,left,diagonal,4,1,3,Dominance,Dampen,Strong Barrier,Atomic Flow
C,O,coll,onn,left,diagonal,4,2,2,Dominance,Dampen,Strong Barrier,Weak Current
C,U,coll,ur,left,diagonal,4,3,1,Modulation,Dampen,Strong Barrier,Median Stream
C,E,coll,eadhadh,left,diagonal,4,4,0,Resonance,Dampen,Strong Barrier,Strong Torrent
C,I,coll,idad,left,diagonal,4,5,1,Modulation,Dampen,Strong Barrier,Maximal Jet
C,AE,coll,ae,left,backslash,4,1,3,Dominance,Invert,Strong Barrier,Atomic Twist
C,OI,coll,oi,left,backslash,4,2,2,Dominance,Invert,Strong Barrier,Weak Vortex
C,UI,coll,ui,left,backslash,4,3,1,Modulation,Invert,Strong Barrier,Median Shift
C,EA,coll,ea,left,backslash,4,4,0,Resonance,Invert,Strong Barrier,Strong Warp
C,IO,coll,io,left,backslash,4,5,1,Modulation,Invert,Strong Barrier,Maximal Chaos
W,B,ceirt,beith,left,right,5,1,4,Dominance,Opposition,Maximal Opposition,Atomic Initiation
W,L,ceirt,luis,left,right,5,2,3,Dominance,Opposition,Maximal Opposition,Weak Coupling
W,F,ceirt,fearn,left,right,5,3,2,Dominance,Opposition,Maximal Opposition,Median Assertion
W,S,ceirt,sail,left,right,5,4,1,Modulation,Opposition,Maximal Opposition,Strong Enforcement
W,P,ceirt,peith,left,right,5,5,0,Resonance,Opposition,Maximal Opposition,Maximal Drive
W,H,ceirt,huath,left,left,5,1,4,Dominance,Reinforce,Maximal Opposition,Atomic Reaction
W,D,ceirt,duir,left,left,5,2,3,Dominance,Reinforce,Maximal Opposition,Weak Resistance
W,T,ceirt,tinne,left,left,5,3,2,Dominance,Reinforce,Maximal Opposition,Median Balance
W,C,ceirt,coll,left,left,5,4,1,Modulation,Reinforce,Maximal Opposition,Strong Barrier
W,W,ceirt,ceirt,left,left,5,5,0,Resonance,Reinforce,Maximal Opposition,Maximal Opposition
W,M,ceirt,muin,left,cross,5,1,4,Dominance,Anchor,Maximal Opposition,Atomic Bind
W,G,ceirt,gort,left,cross,5,2,3,Dominance,Anchor,Maximal Opposition,Loose Knot
W,N,ceirt,ngeadal,left,cross,5,3,2,Dominance,Anchor,Maximal Opposition,Median Lock
W,Z,ceirt,straif,left,cross,5,4,1,Modulation,Anchor,Maximal Opposition,Strong Anchor
W,R,ceirt,ruis,left,cross,5,5,0,Resonance,Anchor,Maximal Opposition,Maximal Fusion
W,A,ceirt,ailm,left,diagonal,5,1,4,Dominance,Dampen,Maximal Opposition,Atomic Flow
W,O,ceirt,onn,left,diagonal,5,2,3,Dominance,Dampen,Maximal Opposition,Weak Current
W,U,ceirt,ur,left,diagonal,5,3,2,Dominance,Dampen,Maximal Opposition,Median Stream
W,E,ceirt,eadhadh,left,diagonal,5,4,1,Modulation,Dampen,Maximal Opposition,Strong Torrent
W,I,ceirt,idad,left,diagonal,5,5,0,Resonance,Dampen,Maximal Opposition,Maximal Jet
W,AE,ceirt,ae,left,backslash,5,1,4,Dominance,Invert,Maximal Opposition,Atomic Twist
W,OI,ceirt,oi,left,backslash,5,2,3,Dominance,Invert,Maximal Opposition,Weak Vortex
W,UI,ceirt,ui,left,backslash,5,3,2,Dominance,Invert,Maximal Opposition,Median Shift
W,EA,ceirt,ea,left,backslash,5,4,1,Modulation,Invert,Maximal Opposition,Strong Warp
W,IO,ceirt,io,left,backslash,5,5,0,Resonance,Invert,Maximal Opposition,Maximal Chaos
M,B,muin,beith,cross,right,1,1,0,Resonance,Anchor,Atomic Bind,Atomic Initiation
M,L,muin,luis,cross,right,1,2,1,Modulation,Anchor,Atomic Bind,Weak Coupling
M,F,muin,fearn,cross,right,1,3,2,Dominance,Anchor,Atomic Bind,Median Assertion
M,S,muin,sail,cross,right,1,4,3,Dominance,Anchor,Atomic Bind,Strong Enforcement
M,P,muin,peith,cross,right,1,5,4,Dominance,Anchor,Atomic Bind,Maximal Drive
M,H,muin,huath,cross,left,1,1,0,Resonance,Anchor,Atomic Bind,Atomic Reaction
M,D,muin,duir,cross,left,1,2,1,Modulation,Anchor,Atomic Bind,Weak Resistance
M,T,muin,tinne,cross,left,1,3,2,Dominance,Anchor,Atomic Bind,Median Balance
M,C,muin,coll,cross,left,1,4,3,Dominance,Anchor,Atomic Bind,Strong Barrier
M,W,muin,ceirt,cross,left,1,5,4,Dominance,Anchor,Atomic Bind,Maximal Opposition
M,M,muin,muin,cross,cross,1,1,0,Resonance,Crystalize,Atomic Bind,Atomic Bind
M,G,muin,gort,cross,cross,1,2,1,Modulation,Crystalize,Atomic Bind,Loose Knot
M,N,muin,ngeadal,cross,cross,1,3,2,Dominance,Crystalize,Atomic Bind,Median Lock
M,Z,muin,straif,cross,cross,1,4,3,Dominance,Crystalize,Atomic Bind,Strong Anchor
M,R,muin,ruis,cross,cross,1,5,4,Dominance,Crystalize,Atomic Bind,Maximal Fusion
M,A,muin,ailm,cross,diagonal,1,1,0,Resonance,Gate,Atomic Bind,Atomic Flow
M,O,muin,onn,cross,diagonal,1,2,1,Modulation,Gate,Atomic Bind,Weak Current
M,U,muin,ur,cross,diagonal,1,3,2,Dominance,Gate,Atomic Bind,Median Stream
M,E,muin,eadhadh,cross,diagonal,1,4,3,Dominance,Gate,Atomic Bind,Strong Torrent
M,I,muin,idad,cross,diagonal,1,5,4,Dominance,Gate,Atomic Bind,Maximal Jet
M,AE,muin,ae,cross,backslash,1,1,0,Resonance,Fracture,Atomic Bind,Atomic Twist
M,OI,muin,oi,cross,backslash,1,2,1,Modulation,Fracture,Atomic Bind,Weak Vortex
M,UI,muin,ui,cross,backslash,1,3,2,Dominance,Fracture,Atomic Bind,Median Shift
M,EA,muin,ea,cross,backslash,1,4,3,Dominance,Fracture,Atomic Bind,Strong Warp
M,IO,muin,io,cross,backslash,1,5,4,Dominance,Fracture,Atomic Bind,Maximal Chaos
G,B,gort,beith,cross,right,2,1,1,Modulation,Anchor,Loose Knot,Atomic Initiation
G,L,gort,luis,cross,right,2,2,0,Resonance,Anchor,Loose Knot,Weak Coupling
G,F,gort,fearn,cross,right,2,3,1,Modulation,Anchor,Loose Knot,Median Assertion
G,S,gort,sail,cross,right,2,4,2,Dominance,Anchor,Loose Knot,Strong Enforcement
G,P,gort,peith,cross,right,2,5,3,Dominance,Anchor,Loose Knot,Maximal Drive
G,H,gort,huath,cross,left,2,1,1,Modulation,Anchor,Loose Knot,Atomic Reaction
G,D,gort,duir,cross,left,2,2,0,Resonance,Anchor,Loose Knot,Weak Resistance
G,T,gort,tinne,cross,left,2,3,1,Modulation,Anchor,Loose Knot,Median Balance
G,C,gort,coll,cross,left,2,4,2,Dominance,Anchor,Loose Knot,Strong Barrier
G,W,gort,ceirt,cross,left,2,5,3,Dominance,Anchor,Loose Knot,Maximal Opposition
G,M,gort,muin,cross,cross,2,1,1,Modulation,Crystalize,Loose Knot,Atomic Bind
G,G,gort,gort,cross,cross,2,2,0,Resonance,Crystalize,Loose Knot,Loose Knot
G,N,gort,ngeadal,cross,cross,2,3,1,Modulation,Crystalize,Loose Knot,Median Lock
